9x=-7-5x,61,81,,,
11y-7=12y+9,54,84,,,
9r-4=10-5r,722,76,,,
7+v=-3-4v,383,68,,,
-10+8q=8+2q,169,42,,,
5c-8=c+6,165,50,,,
-9t+8=1+3t,68,28,,,
-3-5k=-6-7k,44,38,,,
2x-6=4+3x,11,19,,,
9+7x=-6x-5,17,19,,,
3=x+12,37,100,,,
b+8=48,144,61,,,
15=3x,56,68,,,
10=-2q,33,63,,,
10+y=8,99,53,,,
-4s=20,33,46,,,
-6+y=14,89,21,,,
10t=6,606,28,,,
a-6=9,95,15,,,
s-3=-7,13,9,,,
12=5x+2,153,82,,,
1-x=3,169,73,,,
1-11k=3,101,65,,,
12=2-5y,50,78,,,
2x+3=11,2598,50,,,
10=-4-4y,1306,55,,,
-7-2n=2,237,38,,,
10c-5=-6,71,33,,,
12=-4+4y,17,35,,,
x-7+3=5,28,11,,,
